ID товара,Наименование,Ссылка на товар,Регулярная цена,Промо цена,Бренд
145770,"Adult Care Hypoallergenic Сухой корм гипоаллергенный для взрослых кошек, с рыбой, 3 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/ownat-care-korm-dlya-vzroslyh-koshek-hypoallergenic-s-ryboy-pak-1-5kg.html,2815,2815,Ownat
119881,"N&D PRIME сухой корм для котят, с курицей и гранатом, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-chicken-pomegranate-kitten-300g.html,2995,2995,Farmina
119886,"N&D PRIME сухой корм для кошек, с курицей и гранатом, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-chicken-pomegranate-adult-300g.html,2725,2725,Farmina
86129,"Sterilised сухой корм для взрослых кошек для стерилизованных с чувствительным пищеварением с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/proplan-suh-400g-dlya-sterilizovannyh-koshek-s-kuricey.html,1957,1663,Pro Plan ®
45709,"Sensible 33 сухой корм для кошек с чувствительной пищеварительной системой в возрасте с 1 года до 7 лет, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Sensible_33_suhoy_korm_dlya_koshek_pri_chuvstvitelnom_pishchevarenii.html,2409,2409,Royal Canin
86470,"Monoprotein Sterilised Trout сухой корм для стерилизованных кошек с форелью, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-dlya-sterilizovannyh-koshek-s-forelyu.html,1815,1815,Monge
43492,"36 Adult Корм сухой для кошек породы Британская короткошерстная, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_34_Adult_suhoy_korm_dlya_koshek_porody_Britanskaya_korotkosherstnaya.html,2899,2899,Royal Canin
146995,"Adult Sterilized Sensitive сухой корм для стерилизованных кошек с тунцом, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-tuncom1.html,1069,1069,UNICA
45808,"Prescription Diet c-d Multicare Urinary Care Сухой диетический корм для кошек, с курицей, 400 гр.",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_CD_dieticheskiy_suhoy_korm_dlya_koshek_dlya_profilaktiki_MKB_kuritsey.html,2635,2372,Hill's
119891,"N&D PRIME сухой корм для кошек, с кабаном и яблоком, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/farmina-n-d-prime-cat-wild-boar-apple-adult-300g.html,2725,2725,Farmina
120006,"Vet Life Renal диетический сухой корм для кошек при почечной недостаточности, с курицей, 2кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-renal-400-gr.html,3045,3045,Farmina
113389,"Adult Chicken Корм сухой беззерновой для кошек, с курицей, 1 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/just-korm-dlya-koshek-bezzernovoy-s-kuricey.html,1099,1099,Ownat
45804,"Prescription Diet s/d Urinary Care сухой корм для кошек, лечение МКБ, с курицей, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_suhoy_korm_dlya_sobak_melkih_i_karlikovyh_porod_starshe_7et_kuritsey.html,2755,2480,Hill's
146685,"Indoor сухой корм для кошек с лососем, рисом и яблоками, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-koshek-indor-s-lososem-risom-i-yablokami.html,1589,1589,UNICA
154260,"Корм сухой для взрослых кошек крупных пород, с индейкой и курицей, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-vzroslyh-koshek-krupnyh-porod-s-indeykoy-i-kuricey-400g.html,1999,1999,Mealfeel
86941,"Корм сухой для кошек Ньютрид Сатаети Бэлэнс, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-royal-kanin-dlya-koshek-nyutrid-sataeti-belens-pak-400-g.html,2309,2309,Royal Canin
42948,"Delicate сухой корм для котят при чувствительном пищеварении с индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Pro_Plan_Delicate_suhoy_korm_dlya_kotyat_chuvstvitelnoe_pishchevarenie_indeyka.html,1765,1765,Pro Plan ®
41931,"Sphynx Adult корм для кошек породы сфинкс старше 12 месяцев, 2 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Royal_Canin_Sphynx_33_Adult_suhoy_korm_dlya_koshek_porody_Sfinks.html,2899,2899,Royal Canin
46718,"Science Plan Sterilised Cat сухой корм для стерилизованных кошек старше 7 лет, с курицей, 1,5кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/Hills_suhoy_korm_dlya_kastrirovannyh_kotovsterilizovannyh_koshek_starshe_7et.html,1719,1719,Hill's
146237,"Сухой корм для стерилизованных кошек с ягненком и индейкой, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-sterilizovannyh-koshek-s-yagnenkom-i-indeykoy.html,1515,1288,AlphaPet
146989,"Adult In-home Luxury Hairball сухой корм для домашних кошек с курицей, 1,5 кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/korm-suhoy-dlya-domashnih-koshek-s-kuricey.html,995,995,UNICA
120009,"Vet Life Struvite Management диетический сухой корм для кошек при мочекаменной болезни, с курицей, 2кг",https://4lapy.ru/catalog/koshki/korm-koshki/sukhoy/vet-life-natural-diet-cat-management-struvite-400-gr.html,3045,3045,Farmina
